basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20250616,001820,KR7001820000,삼화콘덴서,KOSPI,25750,0,0,25750,26000,25000,44960,1144328925,10395000,267671250000
20250616,001840,KR7001840008,이화공영,KOSDAQ,1616,0,0,0,0,0,0,0,22283636,36010355776
20250616,001940,KR7001940006,KISCO홀딩스,KOSPI,26650,650,2.5,25950,27050,25500,35131,932003850,14176380,377800527000
20250616,002020,KR7002020006,코오롱,KOSPI,39600,5300,15.45,33650,39750,33650,953789,36377934975,12626426,500006469600
20250616,002025,KR7002021004,코오롱우,KOSPI,20050,2180,12.2,18080,21000,17810,110091,2183283985,1076390,21581619500
20250616,002030,KR7002030005,아세아,KOSPI,309500,8000,2.65,302000,311500,299000,4306,1320491250,2084140,645041330000
20250616,002070,KR7002070001,비비안,KOSPI,943,8,.86,935,958,915,383057,357984482,31123777,29349721711
20250616,002100,KR7002100006,경농,KOSPI,10260,120,1.18,10100,10260,10000,122949,1248696945,19522575,200301619500
20250616,002140,KR7002140002,고려산업,KOSPI,3020,-95,-3.05,3185,3190,3015,1064668,3288724050,24939425,75317063500
20250616,002150,KR7002150001,도화엔지니어링,KOSPI,6840,0,0,6720,6940,6720,73566,502337490,33720000,230644800000
20250616,002170,KR7002170009,삼양통상,KOSPI,54500,300,.55,54000,54900,53600,859,46602300,3000000,163500000000
20250616,002200,KR7002200004,한국수출포장,KOSPI,3040,10,.33,3045,3045,3010,30102,91073974,40000000,121600000000
20250616,002210,KR7002210003,동성제약,KOSPI,2780,0,0,0,0,0,0,0,26619507,74002229460
20250616,002220,KR7002220002,한일철강,KOSPI,2720,150,5.84,2555,2745,2480,144534,381251028,26697460,72617091200
20250616,002230,KR7002230001,피에스텍,KOSDAQ,4185,-20,-.48,4165,4215,4160,14165,59293450,19273820,80660936700
20250616,002240,KR7002240000,고려제강,KOSPI,18190,-160,-.87,18120,18350,18090,19381,352350080,27000000,491130000000
20250616,002290,KR7002290005,삼일기업공사,KOSDAQ,3580,-40,-1.1,3620,3630,3515,147327,525467632,12400000,44392000000
20250616,002310,KR7002310001,아세아제지,KOSPI,8060,110,1.38,7920,8090,7760,115998,923889615,41632510,335558030600
20250616,002320,KR7002320000,한진,KOSPI,20250,150,.75,20100,20300,19860,25676,516296415,14947628,302689467000
20250616,002350,KR7002350007,넥센타이어,KOSPI,6330,170,2.76,6170,6380,6090,387205,2416725960,97667877,618237661410
20250616,002355,KR7002351005,넥센타이어1우B,KOSPI,3200,110,3.56,3110,3205,3065,23655,74378440,6500000,20800000000
20250616,002360,KR7002360006,SH에너지화학,KOSPI,494,-27,-5.18,536,565,483,6869871,3551174617,111133730,54900062620
20250616,002380,KR7002380004,KCC,KOSPI,318500,3500,1.11,314500,319000,309500,37297,11753733500,8886471,2830341013500
20250616,002390,KR7002390003,한독,KOSPI,11670,0,0,11660,12320,11580,20600,241314080,13763533,160620430110
20250616,002410,KR7002410009,범양건영,KOSPI,1935,0,0,0,0,0,0,0,27479820,53173451700
20250616,002420,KR7002420008,세기상사,KOSPI,5930,-90,-1.5,6040,6240,5650,31891,187485420,5969948,35401791640
20250616,002450,KR7002450005,삼익악기,KOSPI,1297,6,.46,1303,1303,1266,138734,178282796,90530915,117418596755
20250616,002460,KR7002460004,HS화성,KOSPI,10900,90,.83,10810,10900,10650,6987,75645630,10150000,110635000000
20250616,002600,KR7002600005,조흥,KOSPI,157700,100,.06,160500,160500,157700,14,2223300,600000,94620000000
20250616,002620,KR7002620003,제일파마홀딩스,KOSPI,8490,160,1.92,8300,8530,8100,19272,161833810,15973355,135613783950
20250616,002630,KR7002630002,오리엔트바이오,KOSPI,901,8,.9,893,910,852,2924166,2586904878,118583005,106843287505
20250616,002680,KR7002680007,한탑,KOSDAQ,807,-2,-.25,821,828,800,147684,119629978,32316799,26079656793
20250616,002690,KR7002690006,동일제강,KOSPI,1550,-54,-3.37,1604,1604,1533,20935,32601473,20300360,31465558000
20250616,002700,KR7002700003,신일전자,KOSPI,1482,-11,-.74,1484,1496,1470,456799,675231233,71047521,105292426122
20250616,002710,KR7002710002,TCC스틸,KOSPI,15780,-620,-3.78,16340,16380,15610,132873,2101814495,26213697,413652138660
20250616,002720,KR7002720001,국제약품,KOSPI,4765,0,0,4765,4785,4675,94291,444995336,21159832,100826599480
20250616,002760,KR7002760007,보락,KOSPI,1087,8,.74,1080,1099,1061,134976,145303253,59900000,65111300000
20250616,002780,KR7002780005,진흥기업,KOSPI,778,0,0,762,780,760,327882,252824801,145471745,113177017610
20250616,002785,KR7002781003,진흥기업우B,KOSPI,3670,10,.27,3725,3725,3545,1502,5427620,857218,3145990060
20250616,002787,KR7002782001,진흥기업2우B,KOSPI,7850,-20,-.25,7880,7880,7770,2613,20546780,294808,2314242800
20250616,002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,27900,0,0,28200,28400,27600,136306,3802054925,79458180,2216883222000
20250616,002795,KR7002791002,아모레퍼시픽홀딩스우,KOSPI,12080,320,2.72,11590,12140,11590,31858,379628560,6443770,77840741600
20250616,00279K,KR700279K010,아모레퍼시픽홀딩스3우C,KOSPI,21200,-150,-.7,21600,21600,20950,5298,111876550,7092200,150354640000
20250616,002800,KR7002800001,신신제약,KOSDAQ,5960,-60,-1,6000,6020,5860,112640,668182055,15170500,90416180000
20250616,002810,KR7002810000,삼영무역,KOSPI,15880,180,1.15,15700,15990,15570,19643,308816900,18466948,293255134240
20250616,002820,KR7002820009,SUN&L,KOSPI,2950,20,.68,2930,3000,2930,11408,33923360,12607989,37193567550
20250616,002840,KR7002840007,미원상사,KOSPI,179500,1600,.9,180200,180200,175900,1166,207094600,4750000,852625000000
20250616,002870,KR7002870004,신풍,KOSPI,1185,13,1.11,1172,1187,1145,118287,138090755,34958700,41426059500
20250616,002880,KR7002880003,대유에이텍,KOSPI,1031,39,3.93,999,1253,973,2578583,2858053278,46744020,48193084620
20250616,002900,KR7002900009,TYM,KOSPI,5140,100,1.98,4955,5180,4925,110644,560367895,45050956,231561913840
20250616,002920,KR7002920007,유성기업,KOSPI,2015,-5,-.25,2035,2045,1998,25944,52111579,25947500,52284212500
20250616,002960,KR7002960003,한국쉘석유,KOSPI,437000,7000,1.63,430000,441500,430000,2882,1262030500,1300000,568100000000
20250616,002990,KR7002990000,금호건설,KOSPI,3395,75,2.26,3310,3420,3285,77001,259125837,36996760,125604000200
20250616,002995,KR7002991008,금호건설우,KOSPI,11990,160,1.35,11830,12030,11830,1271,15172380,292266,3504269340
20250616,003000,KR7003000007,부광약품,KOSPI,3950,-50,-1.25,3935,3990,3905,82710,325616570,68454671,270395950450
20250616,003010,KR7003010006,혜인,KOSPI,5320,80,1.53,5220,5340,5120,175913,925676560,12712747,67631814040
20250616,003030,KR7003030004,세아제강지주,KOSPI,226500,3000,1.34,227000,227000,221000,7782,1748767750,4141657,938085310500
20250616,003060,KR7003060001,에이프로젠바이오로직스,KOSPI,654,-6,-.91,660,666,645,272922,178546853,198407845,129758730630
20250616,003070,KR7003070000,코오롱글로벌,KOSPI,9490,40,.42,9260,9600,9170,39763,375436110,18932713,179671446370
20250616,003075,KR7003071008,코오롱글로벌우,KOSPI,15500,-70,-.45,15640,15640,15050,2126,32821670,740737,11481423500
20250616,003080,KR7003080009,SB성보,KOSPI,2755,65,2.42,2705,2755,2700,66200,181223931,20020000,55155100000
20250616,003090,KR7003090008,대웅,KOSPI,26100,700,2.76,25700,26100,24900,90775,2332590475,58141980,1517505678000
20250616,003100,KR7003100005,선광,KOSDAQ,21850,550,2.58,21250,21850,20950,47513,1020796525,6600000,144210000000
20250616,003120,KR7003120003,일성아이에스,KOSPI,21900,-50,-.23,21900,22350,20500,27565,601052975,13300000,291270000000
